Standname,Buchungstag,Standstatus,Kunde,Rechnungsnummer,"Standpreis in €",Standbreite,Standtiefe,Stromanschluss,Wasseranschluss,Imbiss,Getränke,Fahrgeschäft/e,Sortiment,"Notizen vom Kunden",Bezahlstatus
"Baumstraße 1, 1",Samstag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Baumstraße 1, 1",Sonntag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Baumstraße  3, 3",Samstag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Baumstraße  3, 3",Sonntag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Baumstraße 5, 5",Samstag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Baumstraße 5, 5",Sonntag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Baumstraße 7, 7",Samstag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Baumstraße 7, 7",Sonntag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Baumstraße 9, 9",Samstag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Baumstraße 9, 9",Sonntag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Baumstraße 11, 11",Samstag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Baumstraße 11, 11",Sonntag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Baumstraße 13, 13",Samstag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Baumstraße 13, 13",Sonntag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Baumstraße 2, 2",Samstag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Baumstraße 2, 2",Sonntag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Baumstraße 4, 4",Samstag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Baumstraße 4, 4",Sonntag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Baumstraße 6, 6",Samstag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Baumstraße 6, 6",Sonntag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Baumstraße 8, 8",Samstag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Baumstraße 8, 8",Sonntag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Baumstraße 10, 10",Samstag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Baumstraße 10, 10",Sonntag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
