Standname,Buchungstag,Standstatus,Kunde,Rechnungsnummer,"Standpreis in €",Standbreite,Standtiefe,Stromanschluss,Wasseranschluss,Imbiss,Getränke,Fahrgeschäft/e,Sortiment,"Notizen vom Kunden",Bezahlstatus
"Baumstraße 1",Samstag,Verkauft,"Tim Schlautmann (Gewerblich)",738,40€,3m,"0,6m",,,,,,,,Bezahlt
"Baumstraße 1",Sonntag,Verkauft,"Tim Schlautmann (Gewerblich)",738,40€,3m,"0,6m",,,,,,,,Bezahlt
"Baumstraße  3",Samstag,Verkauft,"Tim Schlautmann (Gewerblich)",781,40€,3m,"0,6m",,,,,,,,Bezahlt
"Baumstraße  3",Sonntag,Verkauft,"Tim Schlautmann (Gewerblich)",781,40€,3m,"0,6m",,,,,,,,Bezahlt
"Baumstraße 5",Samstag,Verkauft,"Tim Schlautmann (Gewerblich)",781,40€,3m,"0,6m",,,,,,,,Bezahlt
"Baumstraße 5",Sonntag,Verkauft,"Tim Schlautmann (Gewerblich)",781,40€,3m,"0,6m",,,,,,,,Bezahlt
"Baumstraße 7",Samstag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Baumstraße 7",Sonntag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Baumstraße 9",Samstag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Baumstraße 9",Sonntag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Baumstraße 11",Samstag,Verkauft,"Tim Schlautmann (Gewerblich)",999,20€,3m,"0,6m",,,,,,,,Bezahlt
"Baumstraße 11",Sonntag,Verkauft,"Tim Schlautmann (Gewerblich)",1032,83.25€,3.33m,13m,Ja,Ja,Ja,Ja,,alles,,Bezahlt
"Baumstraße 13",Samstag,Verkauft,"Tim Schlautmann (Gewerblich)",1032,83.25€,3.33m,13m,Ja,Ja,Ja,Ja,,alles,,Bezahlt
"Baumstraße 13",Sonntag,Verkauft,"Tim Schlautmann (Gewerblich)",999,20€,3m,"0,6m",,,,,,,,Bezahlt
"Baumstraße 2",Samstag,Verkauft,"Tim Schlautmann (Gewerblich)",781,40€,3m,"0,6m",,,,,,,,Bezahlt
"Baumstraße 2",Sonntag,Verkauft,"Tim Schlautmann (Gewerblich)",781,40€,3m,"0,6m",,,,,,,,Bezahlt
"Baumstraße 4",Samstag,Verkauft,"Tim Schlautmann (Gewerblich)",1080,222€,3m,3m,Nein,Nein,Nein,Nein,,2,,"Zahlung ausstehend"
"Baumstraße 4",Sonntag,Verkauft,"Tim Schlautmann (Gewerblich)",1080,222€,3m,3m,Nein,Nein,Nein,Nein,,2,,"Zahlung ausstehend"
"Baumstraße 6",Samstag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Baumstraße 6",Sonntag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Baumstraße 8",Samstag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Baumstraße 8",Sonntag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Baumstraße 10",Samstag,Verkauft,"Tim Schlautmann (Gewerblich)",1032,166.5€,3.33m,13m,Ja,Ja,Ja,Ja,,alles,,Bezahlt
"Baumstraße 10",Sonntag,Verkauft,"Tim Schlautmann (Gewerblich)",1032,166.5€,3.33m,13m,Ja,Ja,Ja,Ja,,alles,,Bezahlt
"Dechaneistraße  1",Samstag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Dechaneistraße  1",Sonntag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Dechaneistraße 3",Samstag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Dechaneistraße 3",Sonntag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Dechaneistraße 5",Samstag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Dechaneistraße 5",Sonntag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Dechaneistraße 7",Samstag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Dechaneistraße 7",Sonntag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Dechaneistraße 9",Samstag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Dechaneistraße 9",Sonntag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Dechaneistraße 11",Samstag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Dechaneistraße 11",Sonntag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Dechaneistraße 13",Samstag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Dechaneistraße 13",Sonntag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Dechaneistraße 15",Samstag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Dechaneistraße 15",Sonntag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Dechaneistraße 17",Samstag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Dechaneistraße 17",Sonntag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Dechaneistraße 19",Samstag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Dechaneistraße 19",Sonntag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Dechaneistraße 21",Samstag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Dechaneistraße 21",Sonntag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Dechaneistraße 23",Samstag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Dechaneistraße 23",Sonntag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Dechaneistraße 25",Samstag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Dechaneistraße 25",Sonntag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Dechaneistraße 27",Samstag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Dechaneistraße 27",Sonntag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Dechaneistraße 29",Samstag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Dechaneistraße 29",Sonntag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Dechaneistraße 31",Samstag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Dechaneistraße 31",Sonntag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Dechaneistraße 33",Samstag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Dechaneistraße 33",Sonntag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Dechaneistraße 35",Samstag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Dechaneistraße 35",Sonntag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Dechaneistraße 37",Samstag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Dechaneistraße 37",Sonntag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Dechaneistraße 39",Samstag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Dechaneistraße 39",Sonntag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Dechaneistraße 41",Samstag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Dechaneistraße 41",Sonntag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Dechaneistraße 43",Samstag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
"Dechaneistraße 43",Sonntag,Frei,"Kein Kunde",-,-,-,-,-,-,-,-,-,-,-,-
